,Title1,Title2,Support,Confident,Lift
203,TV Show,nan,0.01305,0.95041,3.31009
204,nan,TV-14,0.00658,0.47933,4.46301
205,Japan,TV Show,0.00806,0.28979,3.48229
206,Japan,TV Show,0.01805,0.98148,3.23052
207,TV Show,TV-Y,0.01328,0.53181,26.6150
208,TV Show,TV-Y7,0.00976,0.39090,17.6570
209,TV Show,United States,0.00874,0.35000,4.05631
210,TV Show,nan,0.02452,0.98181,3.41947
211,United States,TV-Y,0.00465,0.53246,15.2767
212,nan,TV-Y,0.01294,0.51818,19.7582
213,nan,TV-Y7,0.00965,0.38636,13.1902
214,nan,United States,0.00874,0.35000,3.17160
215,"Kids' TV, TV Comedies",TV Show,0.00488,0.43434,19.6189
216,"Kids' TV, TV Comedies",TV Show,0.00476,0.42424,4.91674
217,"Kids' TV, TV Comedies",TV Show,0.01067,0.94949,3.30690
218,"Kids' TV, TV Comedies",nan,0.00454,0.40404,13.7937
219,"Kids' TV, TV Comedies",nan,0.00465,0.41414,3.75283
220,Stand-Up Comedy,Movie,0.03224,0.85029,3.63212
221,TV Show,Reality TV,0.00806,0.74736,8.66160
222,TV Show,Reality TV,0.01067,0.98947,3.44613
223,Reality TV,nan,0.00794,0.73684,6.67706
224,South Korea,TV Show,0.00908,0.40201,4.83070
225,South Korea,TV Show,0.01680,0.98013,3.22608
226,South Korea,nan,0.00862,0.38190,3.55587
227,United States,Stand-Up Comedy,0.01918,0.50598,4.80252
228,TV Show,TV Comedies,0.00454,0.57971,4.45946
229,TV Show,TV Comedies,0.00692,0.88405,10.2457
230,TV Show,TV Comedies,0.00760,0.97101,3.38184
231,TV Comedies,nan,0.00681,0.86956,7.87976
232,TV Show,Taiwan,0.00692,0.98387,3.23839
233,TV Show,1 Season,0.00488,0.95555,3.32800
234,TV Show,1 Season,0.00647,0.89062,3.10186
235,TV Show,1 Season,0.00522,0.39655,4.76511
236,TV Show,1 Season,0.01237,0.93965,3.27263
237,1 Season,2015,0.00499,0.37931,3.53167
238,TV Show,1 Season,0.00681,0.35928,4.31725
239,TV Show,1 Season,0.00510,1.0,3.29147
240,TV Show,1 Season,0.01827,0.96407,3.35766
241,1 Season,nan,0.00647,0.34131,3.17793
242,TV Show,2017,0.00544,0.27272,3.27719
243,TV Show,2017,0.00862,0.43181,3.32179
244,TV Show,2017,0.01861,0.93181,3.24533
245,TV Show,1 Season,0.00772,0.26562,3.19184
246,TV Show,1 Season,0.01532,0.52734,4.05663
247,TV Show,1 Season,0.00658,1.0,3.29147
248,TV Show,1 Season,0.02736,0.94140,3.27872
249,1 Season,nan,0.01419,0.48828,3.10525
250,2019,1 Season,0.00760,0.26587,3.19482
251,2019,1 Season,0.01555,0.54365,4.18207
252,2019,1 Season,0.00726,1.0,3.29147
253,2019,1 Season,0.02702,0.94444,3.28931
254,2019,1 Season,0.01441,0.50396,3.20501
255,TV Show,1 Season,0.00681,1.0,3.29147
256,TV Show,1 Season,0.01941,0.58762,4.52037
257,TV Show,1 Season,0.01158,0.35051,4.06228
258,TV Show,1 Season,0.03019,0.91408,3.18358
259,1 Season,2020,0.01714,0.51890,3.29998
260,1 Season,2020,0.01112,0.33676,3.05171
261,TV Show,2021,0.00590,0.25615,3.07808
262,TV Show,2021,0.01203,0.52216,4.01681
263,TV Show,2021,0.00499,1.0,3.29147
264,TV Show,2021,0.02213,0.96059,3.34554
265,2021,1 Season,0.01123,0.48768,3.10146
266,"Anime Series, International TV Shows",1 Season,0.00510,0.51136,40.9462
267,"Anime Series, International TV Shows",1 Season,0.00488,0.48863,41.3837
268,"Anime Series, International TV Shows",1 Season,0.00613,0.61363,3.20385
269,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",1 Season,0.00476,0.67741,7.72889
270,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",1 Season,0.00465,0.66129,3.45266
271,"Crime TV Shows, International TV Shows, TV Dramas",1 Season,0.00772,0.61818,7.05303
272,"Crime TV Shows, International TV Shows, TV Dramas",1 Season,0.00862,0.69090,3.60730
273,"Crime TV Shows, International TV Shows, TV Dramas",1 Season,0.00601,0.48181,5.99414
274,TV Show,1 Season,0.00533,0.55294,12.1151
275,TV Show,1 Season,0.00726,0.75294,3.93118
276,1 Season,nan,0.00488,0.50588,11.5435
277,TV Show,India,0.00715,0.9,3.13451
278,South Korea,"International TV Shows, Korean TV Shows, Romantic TV Shows",0.00681,0.92307,58.9163
279,South Korea,"International TV Shows, Korean TV Shows, Romantic TV Shows",0.00624,0.84615,57.3301
280,TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows",0.00647,0.87692,4.57850
281,TV Show,1 Season,0.00533,0.5,8.24719
282,TV Show,1 Season,0.00896,0.84042,4.38794
283,1 Season,nan,0.00510,0.47872,8.21948
284,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",0.00567,0.55555,9.16354
285,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",0.00896,0.87777,4.58296
286,"International TV Shows, Romantic TV Shows, TV Dramas",1 Season,0.00567,0.55555,9.53866
287,TV Show,1 Season,0.00601,0.43801,7.22481
288,TV Show,1 Season,0.01078,0.78512,4.09921
289,1 Season,nan,0.00601,0.43801,7.52056
290,Japan,1 Season,0.00522,0.41818,5.02502
291,Japan,1 Season,0.01180,0.94545,3.29282
292,Japan,1 Season,0.00499,0.39999,3.72431
293,TV Show,1 Season,0.00737,0.29545,28.9151
294,TV Show,1 Season,0.00522,0.20909,19.5922
295,TV Show,1 Season,0.01339,0.97520,3.39644
296,1 Season,nan,0.00703,0.28181,28.8634
297,1 Season,nan,0.00522,0.20909,20.2381
298,TV Show,Reality TV,0.00544,0.50526,11.0705
299,TV Show,Reality TV,0.00726,0.67368,3.51737
300,Reality TV,1 Season,0.00533,0.49473,11.2892
301,South Korea,1 Season,0.00806,0.35678,5.88493
302,South Korea,1 Season,0.00567,0.31645,3.61054
303,South Korea,1 Season,0.01475,0.65326,3.41077
304,South Korea,1 Season,0.00772,0.34170,5.86699
305,South Korea,1 Season,0.00510,0.29801,3.40013
306,TV Show,United States,0.01021,1.0,3.29147
307,TV Show,1 Season,0.05824,0.28611,3.62080
308,TV Show,1 Season,0.00613,0.94736,3.29949
309,TV Show,1 Season,0.00476,1.0,3.29147
310,TV Show,United States,0.02111,0.46268,3.55925
311,TV Show,1 Season,0.08038,0.39486,3.26880
312,TV Show,1 Season,0.00715,0.26359,3.05496
313,TV Show,1 Season,0.02588,0.95397,3.32250
314,TV Show,1 Season,0.00976,0.95555,3.32800
315,TV Show,1 Season,0.01033,0.96808,3.37164
316,TV Show,1 Season,0.00681,0.74074,3.86748
317,TV Show,1 Season,0.01373,0.92366,3.21693
318,TV Show,1 Season,0.04382,0.96019,3.34418
319,2 Seasons,TV Show,0.00703,0.98412,3.42751
320,2 Seasons,2019,0.00465,0.56164,4.32048
321,2 Seasons,2019,0.00794,0.95890,3.33967
322,2 Seasons,TV Show,0.00726,0.92753,3.23042
323,2 Seasons,2021,0.00601,0.92982,3.23839
324,2 Seasons,TV Show,0.00454,0.95238,3.31695
325,2 Seasons,TV Show,0.00624,0.25,5.41031
326,2 Seasons,TV Show,0.00806,0.97260,3.38738
327,2 Seasons,United States,0.00658,0.30366,3.51931
328,2 Seasons,TV Show,0.02043,0.42352,3.50605
329,2 Seasons,TV Show,0.00601,0.98148,3.41830
330,2 Seasons,TV Show,0.00613,0.96428,3.35841
331,2 Seasons,TV Show,0.01430,0.29647,3.56250
332,TV Show,2015,0.00624,0.33950,3.16106
333,United States,2016,0.00522,0.21904,5.37429
334,India,2016,0.00488,0.58904,3.63579
335,2017,Documentaries,0.00692,0.21478,5.26980
336,2017,nan,0.00510,0.50561,4.70769
337,2017,TV-14,0.00590,0.51485,3.17786
